prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"2891+1817=4708
2757+4442=7199
2725+3286=6011
3593+3259=",3593,3259,6852,True,True,"2891+1817=4708
2757+4442=7199
2725+3286=6011
3593+3259=6852",6852,True,"[6800, 6900)"
"3408+4449=7857
2814+34=2848
2702+2383=5085
1023+5829=",1023,5829,6852,True,False,"3408+4449=7857
2814+34=2848
2702+2383=5085
1023+5829=6852",6852,True,"[6800, 6900)"
"2463+4561=7024
1099+380=1479
2349+4959=7308
1568+5285=",1568,5285,6853,True,True,"2463+4561=7024
1099+380=1479
2349+4959=7308
1568+5285=6853",6853,True,"[6800, 6900)"
"3715+2422=6137
3031+4711=7742
3038+4504=7542
3692+3161=",3692,3161,6853,False,True,"3715+2422=6137
3031+4711=7742
3038+4504=7542
3692+3161=6853",6853,True,"[6800, 6900)"
"3685+1541=5226
1377+814=2191
1775+3710=5485
6332+522=",6332,522,6854,False,False,"3685+1541=5226
1377+814=2191
1775+3710=5485
6332+522=6854",6854,True,"[6800, 6900)"
"2841+4891=7732
3154+1530=4684
1522+1916=3438
3696+3158=",3696,3158,6854,True,True,"2841+4891=7732
3154+1530=4684
1522+1916=3438
3696+3158=6854",6854,True,"[6800, 6900)"
"2697+767=3464
4234+508=4742
642+1979=2621
1889+4966=",1889,4966,6855,True,True,"2697+767=3464
4234+508=4742
642+1979=2621
1889+4966=6855",6855,True,"[6800, 6900)"
"284+3123=3407
4783+737=5520
3709+1462=5171
4445+2410=",4445,2410,6855,False,False,"284+3123=3407
4783+737=5520
3709+1462=5171
4445+2410=6855",6855,True,"[6800, 6900)"
"3511+1682=5193
2077+2734=4811
4541+2761=7302
4974+1882=",4974,1882,6856,False,True,"3511+1682=5193
2077+2734=4811
4541+2761=7302
4974+1882=6856",6856,True,"[6800, 6900)"
"1392+710=2102
3213+3894=7107
2647+962=3609
2100+4756=",2100,4756,6856,False,False,"1392+710=2102
3213+3894=7107
2647+962=3609
2100+4756=6856",6856,True,"[6800, 6900)"
"2723+3743=6466
4156+4557=8713
3702+2552=6254
5986+871=",5986,871,6857,False,True,"2723+3743=6466
4156+4557=8713
3702+2552=6254
5986+871=6857",6857,True,"[6800, 6900)"
"77+1521=1598
397+1946=2343
3175+4469=7644
895+5962=",895,5962,6857,False,True,"77+1521=1598
397+1946=2343
3175+4469=7644
895+5962=6857",6857,True,"[6800, 6900)"
"3438+2141=5579
1409+400=1809
2451+4359=6810
2115+4743=",2115,4743,6858,False,False,"3438+2141=5579
1409+400=1809
2451+4359=6810
2115+4743=6858",6858,True,"[6800, 6900)"
"3731+1796=5527
1209+1643=2852
1410+1411=2821
6831+27=",6831,27,6858,False,False,"3731+1796=5527
1209+1643=2852
1410+1411=2821
6831+27=6858",6858,True,"[6800, 6900)"
"863+1948=2811
4017+788=4805
3919+2244=6163
4946+1913=",4946,1913,6859,False,False,"863+1948=2811
4017+788=4805
3919+2244=6163
4946+1913=6859",6859,True,"[6800, 6900)"
"4234+1421=5655
144+3748=3892
4301+4825=9126
1851+5008=",1851,5008,6859,False,False,"4234+1421=5655
144+3748=3892
4301+4825=9126
1851+5008=6859",6859,True,"[6800, 6900)"
"2253+1761=4014
2822+1301=4123
2210+1172=3382
5677+1183=",5677,1183,6860,True,True,"2253+1761=4014
2822+1301=4123
2210+1172=3382
5677+1183=6860",6860,True,"[6800, 6900)"
"2595+3961=6556
2393+4704=7097
2023+351=2374
1425+5435=",1425,5435,6860,True,False,"2595+3961=6556
2393+4704=7097
2023+351=2374
1425+5435=6860",6860,True,"[6800, 6900)"
"2227+2996=5223
3444+2498=5942
984+3596=4580
1847+5014=",1847,5014,6861,True,False,"2227+2996=5223
3444+2498=5942
984+3596=4580
1847+5014=6861",6861,True,"[6800, 6900)"
"2018+758=2776
2581+4186=6767
2587+4021=6608
5900+961=",5900,961,6861,False,False,"2018+758=2776
2581+4186=6767
2587+4021=6608
5900+961=6891",6891,False,"[6800, 6900)"
"3150+451=3601
2317+564=2881
1836+2628=4464
4174+2688=",4174,2688,6862,True,True,"3150+451=3601
2317+564=2881
1836+2628=4464
4174+2688=6862",6862,True,"[6800, 6900)"
"400+569=969
2415+864=3279
3788+4311=8099
5876+986=",5876,986,6862,True,True,"400+569=969
2415+864=3279
3788+4311=8099
5876+986=6862",6862,True,"[6800, 6900)"
"575+4769=5344
3487+3250=6737
866+2086=2952
1737+5126=",1737,5126,6863,True,False,"575+4769=5344
3487+3250=6737
866+2086=2952
1737+5126=6863",6863,True,"[6800, 6900)"
"3833+4994=8827
1813+126=1939
1710+3306=5016
483+6380=",483,6380,6863,False,True,"3833+4994=8827
1813+126=1939
1710+3306=5016
483+6380=6863",6863,True,"[6800, 6900)"
"2088+3727=5815
594+2435=3029
4339+3405=7744
6617+247=",6617,247,6864,True,False,"2088+3727=5815
594+2435=3029
4339+3405=7744
6617+247=6864",6864,True,"[6800, 6900)"
"1808+4954=6762
2861+377=3238
1715+2199=3914
809+6055=",809,6055,6864,True,False,"1808+4954=6762
2861+377=3238
1715+2199=3914
809+6055=6864",6864,True,"[6800, 6900)"
"2788+3548=6336
2648+4872=7520
2467+2442=4909
5699+1166=",5699,1166,6865,True,True,"2788+3548=6336
2648+4872=7520
2467+2442=4909
5699+1166=6865",6865,True,"[6800, 6900)"
"4099+522=4621
4639+2045=6684
1517+4980=6497
1719+5146=",1719,5146,6865,True,False,"4099+522=4621
4639+2045=6684
1517+4980=6497
1719+5146=6865",6865,True,"[6800, 6900)"
"1747+4415=6162
3880+2747=6627
4379+2681=7060
4094+2772=",4094,2772,6866,False,True,"1747+4415=6162
3880+2747=6627
4379+2681=7060
4094+2772=6866",6866,True,"[6800, 6900)"
"1449+2186=3635
2923+2526=5449
1376+1093=2469
6257+609=",6257,609,6866,True,False,"1449+2186=3635
2923+2526=5449
1376+1093=2469
6257+609=6866",6866,True,"[6800, 6900)"
"4210+3342=7552
719+4211=4930
4857+4742=9599
6305+562=",6305,562,6867,False,False,"4210+3342=7552
719+4211=4930
4857+4742=9599
6305+562=6867",6867,True,"[6800, 6900)"
"3881+1681=5562
200+3350=3550
2485+2959=5444
6709+158=",6709,158,6867,True,False,"3881+1681=5562
200+3350=3550
2485+2959=5444
6709+158=6867",6867,True,"[6800, 6900)"
"2909+689=3598
4367+1283=5650
355+4376=4731
6032+836=",6032,836,6868,False,False,"2909+689=3598
4367+1283=5650
355+4376=4731
6032+836=6868",6868,True,"[6800, 6900)"
"1050+3618=4668
4492+2582=7074
3596+3527=7123
2896+3972=",2896,3972,6868,False,True,"1050+3618=4668
4492+2582=7074
3596+3527=7123
2896+3972=6868",6868,True,"[6800, 6900)"
"751+258=1009
4537+1574=6111
1292+917=2209
4659+2210=",4659,2210,6869,False,False,"751+258=1009
4537+1574=6111
1292+917=2209
4659+2210=6869",6869,True,"[6800, 6900)"
"3781+4664=8445
715+4218=4933
3303+4141=7444
5232+1637=",5232,1637,6869,False,False,"3781+4664=8445
715+4218=4933
3303+4141=7444
5232+1637=6869",6869,True,"[6800, 6900)"
"555+1832=2387
1744+4753=6497
4398+4065=8463
2315+4555=",2315,4555,6870,True,False,"555+1832=2387
1744+4753=6497
4398+4065=8463
2315+4555=6870",6870,True,"[6800, 6900)"
"1124+4880=6004
4251+4102=8353
3689+3092=6781
695+6175=",695,6175,6870,True,True,"1124+4880=6004
4251+4102=8353
3689+3092=6781
695+6175=6870",6870,True,"[6800, 6900)"
"1233+971=2204
3867+4654=8521
53+1923=1976
6602+269=",6602,269,6871,True,False,"1233+971=2204
3867+4654=8521
53+1923=1976
6602+269=6628",6628,False,"[6800, 6900)"
"2680+3716=6396
2030+2019=4049
3307+3962=7269
1257+5614=",1257,5614,6871,True,False,"2680+3716=6396
2030+2019=4049
3307+3962=7269
1257+5614=6871",6871,True,"[6800, 6900)"
"2251+2005=4256
3246+4245=7491
2071+1392=3463
1018+5854=",1018,5854,6872,True,False,"2251+2005=4256
3246+4245=7491
2071+1392=3463
1018+5854=6872",6872,True,"[6800, 6900)"
"3678+478=4156
2197+3636=5833
1454+2319=3773
5677+1195=",5677,1195,6872,True,True,"3678+478=4156
2197+3636=5833
1454+2319=3773
5677+1195=6872",6872,True,"[6800, 6900)"
"1848+2112=3960
2723+4711=7434
4664+1010=5674
5114+1759=",5114,1759,6873,True,False,"1848+2112=3960
2723+4711=7434
4664+1010=5674
5114+1759=6873",6873,True,"[6800, 6900)"
"2189+4378=6567
1734+2740=4474
993+240=1233
6542+331=",6542,331,6873,False,False,"2189+4378=6567
1734+2740=4474
993+240=1233
6542+331=6873",6873,True,"[6800, 6900)"
"1147+2554=3701
2707+283=2990
119+1869=1988
6310+564=",6310,564,6874,False,False,"1147+2554=3701
2707+283=2990
119+1869=1988
6310+564=6874",6874,True,"[6800, 6900)"
"722+2166=2888
1665+4693=6358
2761+1096=3857
6213+661=",6213,661,6874,False,False,"722+2166=2888
1665+4693=6358
2761+1096=3857
6213+661=6874",6874,True,"[6800, 6900)"
"4744+4898=9642
1715+1491=3206
3056+4655=7711
1075+5800=",1075,5800,6875,False,False,"4744+4898=9642
1715+1491=3206
3056+4655=7711
1075+5800=6875",6875,True,"[6800, 6900)"
"983+2712=3695
67+2065=2132
3905+750=4655
1166+5709=",1166,5709,6875,True,False,"983+2712=3695
67+2065=2132
3905+750=4655
1166+5709=6875",6875,True,"[6800, 6900)"
"4134+3886=8020
4373+2056=6429
3088+4777=7865
1710+5166=",1710,5166,6876,False,False,"4134+3886=8020
4373+2056=6429
3088+4777=7865
1710+5166=6876",6876,True,"[6800, 6900)"
"4050+658=4708
4903+4017=8920
3158+1591=4749
3919+2957=",3919,2957,6876,True,False,"4050+658=4708
4903+4017=8920
3158+1591=4749
3919+2957=6876",6876,True,"[6800, 6900)"
"4091+1539=5630
2030+4997=7027
743+3921=4664
278+6599=",278,6599,6877,True,True,"4091+1539=5630
2030+4997=7027
743+3921=4664
278+6599=7077",7077,False,"[6800, 6900)"
"1549+1734=3283
736+2801=3537
843+1717=2560
3301+3576=",3301,3576,6877,False,False,"1549+1734=3283
736+2801=3537
843+1717=2560
3301+3576=6877",6877,True,"[6800, 6900)"
"4882+4048=8930
1549+4081=5630
604+4772=5376
4014+2864=",4014,2864,6878,False,False,"4882+4048=8930
1549+4081=5630
604+4772=5376
4014+2864=6878",6878,True,"[6800, 6900)"
"654+3664=4318
3337+2689=6026
707+4622=5329
742+6136=",742,6136,6878,False,False,"654+3664=4318
3337+2689=6026
707+4622=5329
742+6136=6878",6878,True,"[6800, 6900)"
"3335+3691=7026
878+1349=2227
1824+1920=3744
5960+919=",5960,919,6879,False,False,"3335+3691=7026
878+1349=2227
1824+1920=3744
5960+919=6879",6879,True,"[6800, 6900)"
"1557+2525=4082
3383+89=3472
4876+2556=7432
1646+5233=",1646,5233,6879,False,False,"1557+2525=4082
3383+89=3472
4876+2556=7432
1646+5233=6879",6879,True,"[6800, 6900)"
"3628+133=3761
1532+4642=6174
3102+2938=6040
4176+2704=",4176,2704,6880,True,False,"3628+133=3761
1532+4642=6174
3102+2938=6040
4176+2704=6880",6880,True,"[6800, 6900)"
"3897+2052=5949
263+4223=4486
3588+1745=5333
3312+3568=",3312,3568,6880,True,False,"3897+2052=5949
263+4223=4486
3588+1745=5333
3312+3568=6880",6880,True,"[6800, 6900)"
"1966+3942=5908
2014+1049=3063
4653+4049=8702
4824+2057=",4824,2057,6881,True,False,"1966+3942=5908
2014+1049=3063
4653+4049=8702
4824+2057=6881",6881,True,"[6800, 6900)"
"4502+3971=8473
2895+4198=7093
2426+372=2798
6233+648=",6233,648,6881,True,False,"4502+3971=8473
2895+4198=7093
2426+372=2798
6233+648=6881",6881,True,"[6800, 6900)"
"1763+2917=4680
758+574=1332
94+1035=1129
4400+2482=",4400,2482,6882,False,False,"1763+2917=4680
758+574=1332
94+1035=1129
4400+2482=6882",6882,True,"[6800, 6900)"
"4129+4920=9049
470+1694=2164
1125+1327=2452
3910+2972=",3910,2972,6882,False,False,"4129+4920=9049
470+1694=2164
1125+1327=2452
3910+2972=6882",6882,True,"[6800, 6900)"
"2833+4499=7332
1691+3022=4713
2487+44=2531
6318+565=",6318,565,6883,True,False,"2833+4499=7332
1691+3022=4713
2487+44=2531
6318+565=6883",6883,True,"[6800, 6900)"
"724+2575=3299
2714+146=2860
1698+1695=3393
4475+2408=",4475,2408,6883,True,False,"724+2575=3299
2714+146=2860
1698+1695=3393
4475+2408=6883",6883,True,"[6800, 6900)"
"4593+3331=7924
619+2905=3524
4222+3826=8048
4205+2679=",4205,2679,6884,True,False,"4593+3331=7924
619+2905=3524
4222+3826=8048
4205+2679=6884",6884,True,"[6800, 6900)"
"2225+704=2929
1970+2015=3985
2096+1388=3484
3087+3797=",3087,3797,6884,True,True,"2225+704=2929
1970+2015=3985
2096+1388=3484
3087+3797=6884",6884,True,"[6800, 6900)"
"3443+4922=8365
1563+1180=2743
4193+4275=8468
4650+2235=",4650,2235,6885,False,False,"3443+4922=8365
1563+1180=2743
4193+4275=8468
4650+2235=6885",6885,True,"[6800, 6900)"
"1095+3923=5018
3304+90=3394
833+2425=3258
5893+992=",5893,992,6885,False,True,"1095+3923=5018
3304+90=3394
833+2425=3258
5893+992=6885",6885,True,"[6800, 6900)"
"2757+1400=4157
1310+4296=5606
3451+3549=7000
1209+5677=",1209,5677,6886,True,False,"2757+1400=4157
1310+4296=5606
3451+3549=7000
1209+5677=6886",6886,True,"[6800, 6900)"
"1060+4460=5520
933+3082=4015
2504+3293=5797
2518+4368=",2518,4368,6886,True,False,"1060+4460=5520
933+3082=4015
2504+3293=5797
2518+4368=6886",6886,True,"[6800, 6900)"
"813+3276=4089
105+1478=1583
3932+1225=5157
1244+5643=",1244,5643,6887,False,False,"813+3276=4089
105+1478=1583
3932+1225=5157
1244+5643=6887",6887,True,"[6800, 6900)"
"4235+2452=6687
2156+4840=6996
4557+3890=8447
1761+5126=",1761,5126,6887,False,False,"4235+2452=6687
2156+4840=6996
4557+3890=8447
1761+5126=6887",6887,True,"[6800, 6900)"
"2881+1720=4601
1535+1582=3117
2998+180=3178
6775+113=",6775,113,6888,False,False,"2881+1720=4601
1535+1582=3117
2998+180=3178
6775+113=6888",6888,True,"[6800, 6900)"
"2325+1699=4024
1573+3162=4735
1855+2164=4019
6260+628=",6260,628,6888,False,False,"2325+1699=4024
1573+3162=4735
1855+2164=4019
6260+628=6322",6322,False,"[6800, 6900)"
"149+4685=4834
4742+776=5518
3158+1063=4221
1249+5640=",1249,5640,6889,False,False,"149+4685=4834
4742+776=5518
3158+1063=4221
1249+5640=6889",6889,True,"[6800, 6900)"
"3915+611=4526
3855+1411=5266
4442+730=5172
4277+2612=",4277,2612,6889,False,False,"3915+611=4526
3855+1411=5266
4442+730=5172
4277+2612=6889",6889,True,"[6800, 6900)"
"872+1168=2040
3700+1834=5534
3560+828=4388
3601+3289=",3601,3289,6890,True,False,"872+1168=2040
3700+1834=5534
3560+828=4388
3601+3289=6890",6890,True,"[6800, 6900)"
"534+2491=3025
2182+2336=4518
3824+1328=5152
3885+3005=",3885,3005,6890,True,False,"534+2491=3025
2182+2336=4518
3824+1328=5152
3885+3005=6890",6890,True,"[6800, 6900)"
"3719+3893=7612
2788+2000=4788
1123+1888=3011
1566+5325=",1566,5325,6891,True,False,"3719+3893=7612
2788+2000=4788
1123+1888=3011
1566+5325=6891",6891,True,"[6800, 6900)"
"1104+3087=4191
2178+2512=4690
1190+3577=4767
6023+868=",6023,868,6891,True,False,"1104+3087=4191
2178+2512=4690
1190+3577=4767
6023+868=6991",6991,False,"[6800, 6900)"
"1424+1300=2724
4339+3624=7963
4320+2029=6349
5642+1250=",5642,1250,6892,False,False,"1424+1300=2724
4339+3624=7963
4320+2029=6349
5642+1250=6892",6892,True,"[6800, 6900)"
"2348+2730=5078
2434+3326=5760
1767+1574=3341
2722+4170=",2722,4170,6892,False,False,"2348+2730=5078
2434+3326=5760
1767+1574=3341
2722+4170=6892",6892,True,"[6800, 6900)"
"2263+4676=6939
4358+2437=6795
1183+3449=4632
3890+3003=",3890,3003,6893,False,False,"2263+4676=6939
4358+2437=6795
1183+3449=4632
3890+3003=6893",6893,True,"[6800, 6900)"
"4054+1016=5070
1824+2312=4136
1001+1682=2683
2582+4311=",2582,4311,6893,False,False,"4054+1016=5070
1824+2312=4136
1001+1682=2683
2582+4311=6893",6893,True,"[6800, 6900)"
"1069+376=1445
4033+1215=5248
3199+4160=7359
1398+5496=",1398,5496,6894,True,True,"1069+376=1445
4033+1215=5248
3199+4160=7359
1398+5496=6894",6894,True,"[6800, 6900)"
"1034+277=1311
2394+3476=5870
1685+3745=5430
3169+3725=",3169,3725,6894,True,False,"1034+277=1311
2394+3476=5870
1685+3745=5430
3169+3725=6894",6894,True,"[6800, 6900)"
"1522+3375=4897
420+3154=3574
1227+4816=6043
4991+1904=",4991,1904,6895,False,False,"1522+3375=4897
420+3154=3574
1227+4816=6043
4991+1904=6895",6895,True,"[6800, 6900)"
"3763+3593=7356
2384+923=3307
3913+4088=8001
3410+3485=",3410,3485,6895,False,False,"3763+3593=7356
2384+923=3307
3913+4088=8001
3410+3485=6905",6905,False,"[6800, 6900)"
"690+1422=2112
1362+2785=4147
30+3293=3323
5101+1795=",5101,1795,6896,False,False,"690+1422=2112
1362+2785=4147
30+3293=3323
5101+1795=6896",6896,True,"[6800, 6900)"
"4537+1320=5857
2204+4804=7008
1216+550=1766
6249+647=",6249,647,6896,True,False,"4537+1320=5857
2204+4804=7008
1216+550=1766
6249+647=6903",6903,False,"[6800, 6900)"
"1101+3353=4454
1935+4800=6735
3956+4854=8810
3909+2988=",3909,2988,6897,True,False,"1101+3353=4454
1935+4800=6735
3956+4854=8810
3909+2988=6897",6897,True,"[6800, 6900)"
"4268+2436=6704
4896+4542=9438
3228+1732=4960
2438+4459=",2438,4459,6897,True,False,"4268+2436=6704
4896+4542=9438
3228+1732=4960
2438+4459=6897",6897,True,"[6800, 6900)"
"4220+3326=7546
3395+3365=6760
2548+2451=4999
5249+1649=",5249,1649,6898,True,False,"4220+3326=7546
3395+3365=6760
2548+2451=4999
5249+1649=6900",6900,False,"[6800, 6900)"
"2483+855=3338
4957+2927=7884
3247+2344=5591
4264+2634=",4264,2634,6898,False,False,"2483+855=3338
4957+2927=7884
3247+2344=5591
4264+2634=6898",6898,True,"[6800, 6900)"
"2270+4830=7100
2479+2976=5455
4521+539=5060
5813+1086=",5813,1086,6899,False,False,"2270+4830=7100
2479+2976=5455
4521+539=5060
5813+1086=6900",6900,False,"[6800, 6900)"
"4208+3915=8123
1705+515=2220
4061+4131=8192
5598+1301=",5598,1301,6899,False,False,"4208+3915=8123
1705+515=2220
4061+4131=8192
5598+1301=6899",6899,True,"[6800, 6900)"
"971+4258=5229
152+4253=4405
2591+739=3330
4657+2243=",4657,2243,6900,True,True,"971+4258=5229
152+4253=4405
2591+739=3330
4657+2243=6900",6900,True,"[6900, 7000)"
"4198+552=4750
1965+2387=4352
2228+1644=3872
4001+2899=",4001,2899,6900,True,True,"4198+552=4750
1965+2387=4352
2228+1644=3872
4001+2899=6890",6890,False,"[6900, 7000)"
"3614+3455=7069
278+3796=4074
3972+1960=5932
374+6527=",374,6527,6901,True,True,"3614+3455=7069
278+3796=4074
3972+1960=5932
374+6527=6891",6891,False,"[6900, 7000)"
"4117+2466=6583
689+4586=5275
2332+3980=6312
2497+4404=",2497,4404,6901,True,True,"4117+2466=6583
689+4586=5275
2332+3980=6312
2497+4404=6801",6801,False,"[6900, 7000)"
"839+1152=1991
3484+3038=6522
3133+4199=7332
5454+1448=",5454,1448,6902,True,True,"839+1152=1991
3484+3038=6522
3133+4199=7332
5454+1448=6902",6902,True,"[6900, 7000)"
"4974+1566=6540
1978+4178=6156
3079+147=3226
5229+1673=",5229,1673,6902,True,True,"4974+1566=6540
1978+4178=6156
3079+147=3226
5229+1673=6902",6902,True,"[6900, 7000)"
"948+4623=5571
2004+1440=3444
2888+2129=5017
438+6465=",438,6465,6903,True,True,"948+4623=5571
2004+1440=3444
2888+2129=5017
438+6465=6893",6893,False,"[6900, 7000)"
"3612+1876=5488
2896+3781=6677
214+3653=3867
1477+5426=",1477,5426,6903,True,True,"3612+1876=5488
2896+3781=6677
214+3653=3867
1477+5426=6803",6803,False,"[6900, 7000)"
"2774+3997=6771
3408+897=4305
4422+2582=7004
1911+4993=",1911,4993,6904,False,True,"2774+3997=6771
3408+897=4305
4422+2582=7004
1911+4993=6904",6904,True,"[6900, 7000)"
"1938+3371=5309
3140+2954=6094
637+4331=4968
261+6643=",261,6643,6904,False,True,"1938+3371=5309
3140+2954=6094
637+4331=4968
261+6643=6894",6894,False,"[6900, 7000)"
"795+4741=5536
4619+3960=8579
2459+4821=7280
4820+2085=",4820,2085,6905,False,True,"795+4741=5536
4619+3960=8579
2459+4821=7280
4820+2085=6905",6905,True,"[6900, 7000)"
"3405+1177=4582
3395+2567=5962
250+199=449
5880+1025=",5880,1025,6905,False,True,"3405+1177=4582
3395+2567=5962
250+199=449
5880+1025=6905",6905,True,"[6900, 7000)"
"116+4998=5114
491+4911=5402
4043+1551=5594
770+6136=",770,6136,6906,False,True,"116+4998=5114
491+4911=5402
4043+1551=5594
770+6136=6906",6906,True,"[6900, 7000)"
"4015+3185=7200
1396+2718=4114
2186+3176=5362
144+6762=",144,6762,6906,False,True,"4015+3185=7200
1396+2718=4114
2186+3176=5362
144+6762=6906",6906,True,"[6900, 7000)"
"2616+2759=5375
4209+2520=6729
3665+1900=5565
4919+1988=",4919,1988,6907,True,True,"2616+2759=5375
4209+2520=6729
3665+1900=5565
4919+1988=6897",6897,False,"[6900, 7000)"
"2897+212=3109
1294+3761=5055
4513+4376=8889
1239+5668=",1239,5668,6907,True,True,"2897+212=3109
1294+3761=5055
4513+4376=8889
1239+5668=6907",6907,True,"[6900, 7000)"
"2426+3359=5785
4141+3414=7555
640+3698=4338
3433+3475=",3433,3475,6908,False,True,"2426+3359=5785
4141+3414=7555
640+3698=4338
3433+3475=6908",6908,True,"[6900, 7000)"
"4798+236=5034
4553+3772=8325
2677+49=2726
2416+4492=",2416,4492,6908,False,True,"4798+236=5034
4553+3772=8325
2677+49=2726
2416+4492=7008",7008,False,"[6900, 7000)"
"1490+1399=2889
2319+3167=5486
4936+3850=8786
506+6403=",506,6403,6909,False,False,"1490+1399=2889
2319+3167=5486
4936+3850=8786
506+6403=6909",6909,True,"[6900, 7000)"
"2176+452=2628
562+1109=1671
851+1939=2790
6616+293=",6616,293,6909,False,True,"2176+452=2628
562+1109=1671
851+1939=2790
6616+293=6645",6645,False,"[6900, 7000)"
"485+2596=3081
2256+800=3056
2973+2713=5686
4070+2840=",4070,2840,6910,False,True,"485+2596=3081
2256+800=3056
2973+2713=5686
4070+2840=6910",6910,True,"[6900, 7000)"
"3339+567=3906
4884+4830=9714
3153+402=3555
4627+2283=",4627,2283,6910,True,True,"3339+567=3906
4884+4830=9714
3153+402=3555
4627+2283=6910",6910,True,"[6900, 7000)"
"3115+3761=6876
2490+1384=3874
1757+2305=4062
265+6646=",265,6646,6911,True,True,"3115+3761=6876
2490+1384=3874
1757+2305=4062
265+6646=6811",6811,False,"[6900, 7000)"
"677+2712=3389
1629+4064=5693
3346+1615=4961
1188+5723=",1188,5723,6911,True,True,"677+2712=3389
1629+4064=5693
3346+1615=4961
1188+5723=6911",6911,True,"[6900, 7000)"
"1364+4861=6225
3668+3656=7324
1956+2084=4040
6067+845=",6067,845,6912,True,True,"1364+4861=6225
3668+3656=7324
1956+2084=4040
6067+845=6912",6912,True,"[6900, 7000)"
"3502+687=4189
4784+1197=5981
2494+863=3357
4541+2371=",4541,2371,6912,False,True,"3502+687=4189
4784+1197=5981
2494+863=3357
4541+2371=6912",6912,True,"[6900, 7000)"
"2467+3160=5627
4831+1106=5937
3005+3055=6060
147+6766=",147,6766,6913,True,True,"2467+3160=5627
4831+1106=5937
3005+3055=6060
147+6766=6913",6913,True,"[6900, 7000)"
"2400+226=2626
631+3179=3810
577+2230=2807
3548+3365=",3548,3365,6913,True,True,"2400+226=2626
631+3179=3810
577+2230=2807
3548+3365=6913",6913,True,"[6900, 7000)"
"2833+3329=6162
2534+1852=4386
3961+2557=6518
5060+1854=",5060,1854,6914,False,True,"2833+3329=6162
2534+1852=4386
3961+2557=6518
5060+1854=6914",6914,True,"[6900, 7000)"
"1299+4374=5673
671+4030=4701
4550+2756=7306
2465+4449=",2465,4449,6914,True,True,"1299+4374=5673
671+4030=4701
4550+2756=7306
2465+4449=6914",6914,True,"[6900, 7000)"
"341+2005=2346
4346+699=5045
1629+13=1642
5712+1203=",5712,1203,6915,False,False,"341+2005=2346
4346+699=5045
1629+13=1642
5712+1203=6915",6915,True,"[6900, 7000)"
"709+3980=4689
3169+46=3215
1935+4600=6535
4456+2459=",4456,2459,6915,True,True,"709+3980=4689
3169+46=3215
1935+4600=6535
4456+2459=6915",6915,True,"[6900, 7000)"
"1397+423=1820
1845+2008=3853
1554+672=2226
402+6514=",402,6514,6916,False,False,"1397+423=1820
1845+2008=3853
1554+672=2226
402+6514=6916",6916,True,"[6900, 7000)"
"723+4289=5012
3059+154=3213
80+2951=3031
4658+2258=",4658,2258,6916,True,True,"723+4289=5012
3059+154=3213
80+2951=3031
4658+2258=6916",6916,True,"[6900, 7000)"
"1434+719=2153
611+1536=2147
824+4304=5128
2974+3943=",2974,3943,6917,False,True,"1434+719=2153
611+1536=2147
824+4304=5128
2974+3943=6917",6917,True,"[6900, 7000)"
"1106+2115=3221
2811+4846=7657
1733+3568=5301
72+6845=",72,6845,6917,False,True,"1106+2115=3221
2811+4846=7657
1733+3568=5301
72+6845=6917",6917,True,"[6900, 7000)"
"4391+4718=9109
2353+3326=5679
4672+1563=6235
3650+3268=",3650,3268,6918,False,True,"4391+4718=9109
2353+3326=5679
4672+1563=6235
3650+3268=6918",6918,True,"[6900, 7000)"
"3045+2147=5192
368+4827=5195
4204+3369=7573
4347+2571=",4347,2571,6918,False,True,"3045+2147=5192
368+4827=5195
4204+3369=7573
4347+2571=6918",6918,True,"[6900, 7000)"
"1072+1294=2366
1903+4504=6407
451+4400=4851
3796+3123=",3796,3123,6919,False,True,"1072+1294=2366
1903+4504=6407
451+4400=4851
3796+3123=6919",6919,True,"[6900, 7000)"
"2586+3264=5850
4189+1516=5705
763+4645=5408
6606+313=",6606,313,6919,False,False,"2586+3264=5850
4189+1516=5705
763+4645=5408
6606+313=6919",6919,True,"[6900, 7000)"
"211+4724=4935
209+1904=2113
997+938=1935
1038+5882=",1038,5882,6920,True,True,"211+4724=4935
209+1904=2113
997+938=1935
1038+5882=6910",6910,False,"[6900, 7000)"
"1435+3819=5254
3972+2641=6613
698+4019=4717
806+6114=",806,6114,6920,True,False,"1435+3819=5254
3972+2641=6613
698+4019=4717
806+6114=6910",6910,False,"[6900, 7000)"
"217+319=536
8+2150=2158
4015+2785=6800
4893+2028=",4893,2028,6921,True,True,"217+319=536
8+2150=2158
4015+2785=6800
4893+2028=6921",6921,True,"[6900, 7000)"
"725+2132=2857
4869+4370=9239
3378+4346=7724
5385+1536=",5385,1536,6921,True,True,"725+2132=2857
4869+4370=9239
3378+4346=7724
5385+1536=6921",6921,True,"[6900, 7000)"
"3000+1757=4757
2490+1596=4086
2963+719=3682
5309+1613=",5309,1613,6922,True,False,"3000+1757=4757
2490+1596=4086
2963+719=3682
5309+1613=6922",6922,True,"[6900, 7000)"
"1570+2505=4075
2631+2567=5198
177+3006=3183
1569+5353=",1569,5353,6922,True,True,"1570+2505=4075
2631+2567=5198
177+3006=3183
1569+5353=6922",6922,True,"[6900, 7000)"
